K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,64,
26,128,
27,256,9.977,7.416,22.518,0.000,39.910
28,512,25.624,23.216,30.714,0.000,79.555
29,1024,43.035,31.645,67.239,0.000,141.919
30,2048,87.275,119.297,141.953,0.000,348.525
31,4096,277.589,405.136,186.802,0.000,869.527
32,8192,618.398,908.523,126.888,0.000,1653.809
33,8192,1324.908,3432.842,45.258,0.000,4803.009
34,8192,2782.379,7103.649,45.179,0.000,9931.208
35,8192,6167.161,14757.656,51.229,0.000,20976.046
K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,262144,4.659,0.000,7.970,0.000,12.629
26,262144,7.863,0.000,15.825,0.000,23.689
27,262144,16.922,0.000,32.425,0.000,49.347
28,262144,33.748,0.000,67.471,0.000,101.219
29,262144,62.250,0.000,123.582,0.000,185.831
30,262144,163.752,0.000,178.514,0.000,342.266
31,262144,558.035,0.000,121.904,0.000,679.939
32,262144,1344.066,0.000,24.470,0.000,1368.536
33,262144,2588.970,0.007,0.000,0.000,2588.978
34,262144,5080.604,8481.849,327.853,0.000,13890.306
35,262144,9743.323,15485.446,277.740,0.000,25506.508
