K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,64,
26,128,
27,256,12.511,6.758,4.970,0.000,24.238
28,512,22.877,17.658,4.611,0.000,45.146
29,1024,33.747,30.754,5.065,0.000,69.566
30,2048,89.999,78.118,5.194,0.000,173.311
31,4096,137.854,148.836,7.405,0.000,294.095
32,8192,315.783,362.227,12.764,0.000,690.773
33,8192,714.760,936.811,9.307,0.000,1660.879
34,8192,1699.536,2368.962,16.045,0.000,4084.543
35,8192,3970.767,4670.689,19.623,0.000,8661.078
K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,262144,3.845,0.000,5.178,0.000,9.023
26,262144,7.086,0.000,4.736,0.000,11.822
27,262144,15.430,0.000,9.591,0.000,25.021
28,262144,25.545,0.000,9.164,0.000,34.708
29,262144,60.865,0.000,7.778,0.000,68.643
30,262144,120.385,0.000,0.000,0.000,120.385
31,262144,262.644,0.000,0.000,0.000,262.644
32,262144,546.741,0.000,0.000,0.000,546.741
33,262144,1294.754,0.000,0.000,0.000,1294.754
34,262144,2142.205,2082.102,0.000,0.000,4224.308
35,262144,5002.179,4626.914,0.000,0.000,9629.093
