K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,64,1.908,3.718,5.955,0.000,11.581
26,128,3.775,7.731,11.522,0.000,23.029
27,256,8.248,16.903,17.280,0.000,42.431
28,512,23.288,43.483,25.808,0.000,92.580
29,1024,66.577,92.827,27.065,0.000,186.469
30,2048,158.982,352.359,16.769,0.000,528.110
31,4096,339.413,933.779,23.097,0.000,1296.290
32,8192,728.937,1977.564,22.718,0.000,2729.220
33,16384,1599.518,3986.635,24.023,0.000,5610.175
34,16384,3278.377,8476.646,25.211,0.000,11780.233
35,16384,6886.330,17509.630,25.796,0.000,24421.757
K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,16384,4.399,0.000,5.235,0.000,9.634
26,16384,9.017,0.000,10.934,0.000,19.951
27,16384,18.838,0.000,17.415,0.000,36.253
28,16384,45.884,0.000,19.950,0.000,65.834
29,16384,105.481,0.000,11.747,0.000,117.228
30,16384,207.900,422.055,22.218,0.000,652.173
31,16384,406.550,937.442,23.405,0.000,1367.397
32,16384,816.614,1968.148,24.086,0.000,2808.848
33,16384,1640.203,4156.702,24.951,0.000,5821.856
34,16384,3380.235,8816.147,25.399,0.000,12221.781
35,16384,6430.402,16688.482,25.500,0.000,23144.384
