K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,64,1.887,3.659,0.324,0.000,5.871
26,128,3.765,7.856,0.727,0.000,12.347
27,256,7.733,15.966,0.945,0.000,24.643
28,512,15.810,32.514,0.876,0.000,49.200
29,1024,31.254,64.677,0.449,0.000,96.379
30,2048,77.226,309.839,6.846,0.000,393.912
31,4196,311.540,477.304,8.520,0.000,797.364
32,8192,625.208,1126.081,8.938,0.000,1760.226
33,16384,1762.941,2567.743,10.711,0.000,4341.395
34,16384,2754.374,4771.615,5.198,0.000,7531.186
35,16384,5454.860,9446.165,4.688,0.000,14905.713
K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,64,1.891,3.594,0.351,0.000,5.836
26,128,3.823,7.267,0.727,0.000,11.817
27,256,7.532,17.071,1.566,0.000,26.169
28,512,15.849,32.050,0.973,0.000,48.872
29,1024,31.455,64.344,0.723,0.000,96.522
30,2048,74.093,149.862,1.445,0.000,225.399
31,4196,149.331,323.840,0.712,0.000,473.883
32,8192,336.178,622.851,0.842,0.000,959.871
33,16384,790.156,1249.837,0.834,0.000,2040.827
34,16384,1411.819,2514.606,0.812,0.000,3927.237
35,16384,2823.530,5075.153,0.733,0.000,7899.415
