K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,512,10.661,23.711,0.672,0.000,35.044
26,512,20.360,57.047,1.046,0.000,78.453
27,512,41.260,122.518,0.847,0.000,164.625
28,512,91.291,290.983,1.523,0.000,383.797
29,512,159.281,581.607,0.890,0.000,741.779
30,512,329.104,1158.848,1.369,0.000,1489.320
31,512,647.620,2340.795,0.757,0.000,2989.171
32,512,1533.742,4906.907,1.259,0.000,6441.907
33,512,3447.279,8308.822,0.670,0.000,11756.771
34,512,18134.809,16581.379,0.596,0.000,34716.784
35,512,67589.976,34093.029,0.802,0.000,101683.806
