K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,512,10.448,21.747,0.216,0.000,32.412
26,512,20.266,51.191,0.402,0.000,71.859
27,512,42.608,106.379,0.354,0.000,149.341
28,512,82.664,228.027,0.274,0.000,310.965
29,512,187.005,452.345,0.271,0.000,639.622
30,512,412.869,902.675,0.311,0.000,1315.855
31,512,701.417,1806.746,0.214,0.000,2508.377
32,512,1530.801,3613.560,0.344,0.000,5144.705
33,512,5074.905,7608.513,0.267,0.000,12683.685
34,512,10484.697,15168.599,0.260,0.000,25653.555
35,512,18845.251,21586.969,0.432,0.000,40432.652
