K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,262144,2.945,0.000,10.892,0.000,13.837
26,262144,6.062,0.000,22.227,0.000,28.289
27,262144,14.398,0.000,42.993,0.000,57.392
28,262144,26.756,0.000,86.079,0.000,112.836
29,262144,56.437,0.000,163.082,0.000,219.518
30,262144,121.232,0.000,313.443,0.000,434.675
31,262144,302.293,0.000,643.878,0.000,946.170
32,262144,1090.683,0.000,923.112,0.000,2013.795
33,262144,4252.904,0.000,766.084,0.000,5018.988
34,262144,6975.090,12670.117,860.977,0.000,20506.184
35,262144,13792.933,29873.067,829.170,0.000,44495.170
