K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,64,26,128,4.529,3.255,18.761,0.000,26.544
27,256,10.372,5.944,35.932,0.000,52.248
28,512,18.495,13.109,61.242,0.000,92.846
29,1024,67.786,126.672,114.431,0.000,308.890
30,2048,222.432,301.183,116.831,0.000,640.445
31,4096,563.887,1137.906,44.864,0.000,1746.656
32,8192,1331.185,3713.884,111.579,0.000,5156.649
33,8192,2506.635,7274.221,105.210,0.000,9886.067
34,8192,0,0,0,0,0
35,8192,0,0,0,0,0
K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,32768,3.744,0.000,8.189,0.000,11.933
26,32768,7.089,0.000,15.194,0.000,22.283
27,32768,15.964,0.000,29.812,0.000,45.776
28,32768,31.833,0.000,58.941,0.000,90.775
29,32768,118.474,0.000,59.634,0.000,178.108
30,32768,334.042,0.000,40.399,0.000,374.441
31,32768,638.299,1209.463,52.708,0.012,1900.483
32,32768,1181.943,2456.994,51.373,0.000,3690.310
33,32768,
