K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,64,26,128,4.980,3.296,2.155,0.000,10.431
27,256,28,512,19.171,15.356,0.717,0.000,35.244
29,1024,44.414,34.400,0.910,0.000,79.723
30,2048,82.869,109.733,8.996,0.000,201.599
31,4096,226.887,231.652,5.078,0.000,463.617
32,8192,481.683,445.431,1.122,0.000,928.236
33,8192,912.180,866.229,1.773,0.000,1780.182
34,8192,1152.818,1434.251,8.795,0.000,2595.865
35,8192,0,0,0,0,0
K,RAM,HASH,SORT,FLUSH,COMPRESS,TOTAL
25,32768,3.742,0.000,3.474,0.000,7.216
26,32768,7.349,0.000,3.147,0.000,10.496
27,32768,15.253,0.000,10.793,0.000,26.046
28,32768,32.063,0.000,5.938,0.000,38.001
29,32768,66.196,0.000,1.834,0.000,68.030
30,32768,170.693,0.000,15.530,0.000,186.224
31,32768,269.337,272.519,3.183,0.000,545.039
32,32768,604.504,547.715,3.072,0.000,1155.291
33,32768,1451.093,1158.264,5.118,0.000,2614.475
34,32768,2579.271,2294.062,3.103,0.000,4876.436
